Acer ; Liquid Jade Primo
alcatel ; Pop 4+
alcatel ; Idol X+
alcatel ; One Touch T'Pop
alcatel ; One Touch S'Pop
alcatel ; One Touch M'Pop
alcatel ; One Touch X'Pop
alcatel ; OT-C651
Allview ; Soul X5 Style
Allview ; Allwatch V
Allview ; Soul X5 Mini
Allview ; P10 Style
Allview ; X5 Soul
Allview ; Soul X5 Pro
Allview ; X2 Soul Style + Platinum
Allview ; V2 Viper X+
Apple ; iPad Pro 12.9 (2018)
Apple ; iPad Pro 11
Apple ; iPhone XS Max
Apple ; iPhone XS
Apple ; Watch Series 2 Aluminum 42mm
Apple ; Watch Series 1 Aluminum 42mm
Apple ; Watch Series 2 Aluminum 38mm
Apple ; Watch Series 1 Aluminum 38mm
Apple ; iPad Pro 9.7 (2016)
Apple ; iPad Pro 12.9 (2015)
Apple ; Watch Edition 42mm (1st gen)
Apple ; Watch Edition 38mm (1st gen)
Apple ; Watch 42mm (1st gen)
Apple ; Watch 38mm (1st gen)
Apple ; Watch Sport 42mm (1st gen)
Apple ; Watch Sport 38mm (1st gen)
Archos ; Diamond Alpha +
Asus ; Zenfone Max (M1) ZB556KL
Asus ; ZenFone Lite (L1) ZA551KL
Asus ; ROG Phone
Asus ; Zenfone Max Plus (M1) ZB570TL
Asus ; Zenfone 5 Lite A502CG (2014)
Asus ; Zenfone 5 A500KL (2014)
Asus ; Zenfone 4 A450CG (2014)
Asus ; Zenfone 5 A501CG (2015)
Asus ; Zenfone 5 A500CG (2014)
Asus ; Zenfone 4 (2014)
Bird ; V5518+
Bird ; S296+
BlackBerry ; KEY2 LE
BlackBerry ; Evolve X
BlackBerry ; KEY2
BlackBerry ; Priv
BlackBerry ; Porsche Design P'9983
BlackBerry ; Porsche Design P'9982
BlackBerry ; Porsche Design P'9981
BlackBerry ; 4G Playbook HSPA+
BLU ; Studio Mega (2018)
BLU ; Grand M2 (2018)
BLU ; Vivo XI
BLU ; Vivo XI+
BLU ; Studio C 8+8
BLU ; Studio C 8+8 LTE
BLU ; Studio C 5 + 5 LTE
BLU ; Studio C 5 + 5
BQ ; Aquaris X2 Pro
BQ ; Aquaris X2
Casio ; G'zOne CA-201L
Casio ; G'zOne Commando
Casio ; G'zOne Ravine 2
Casio ; G'zOne Ravine
Casio ; G'zOne Brigade
Cat ; B35
Celkon ; Q54+
Celkon ; C348+
Celkon ; C349+
Celkon ; C66+
Celkon ; C67+
Celkon ; CT-910+
Coolpad ; Mega 5A
Coolpad ; Note 6
Energizer ; Power Max P490S
Energizer ; Power Max P490
Energizer ; Energy E10+
Ericsson ; GA 318
Eten ; glofiish X500+
Eten ; G500+
Haier ; M320+
HTC ; Exodus 1
HTC ; Desire 12+
HTC ; One M9+ Supreme Camera
HTC ; Desire 820G+ dual sim
HTC ; One E9+
HTC ; Desire 626G+
HTC ; Desire 526G+ dual sim 
Huawei ; Watch Magic
Huawei ; Watch GT
Huawei ; Honor Magic 2
Huawei ; Mate 20 RS Porsche Design
Huawei ; Mate 20 X
Huawei ; Mate 20 Pro
Huawei ; Mate 20
Huawei ; Honor 8C
Huawei ; MediaPad M5 lite
Huawei ; Y9 (2019)
Huawei ; Honor 8X
Huawei ; Honor 8X Max
Huawei ; Mate 20 lite
Huawei ; Honor Note 10
Huawei ; Honor 9N (9i)
Huawei ; P Smart+ (nova 3i)
Huawei ; Honor Play
Huawei ; Y7 Pro (2018)
Huawei ; P9 Plus
Huawei ; Y6 Pro
Huawei ; MediaPad M2 8.0
Huawei ; MediaPad 10 Link+
Intex ; Aqua 4G+
Intex ; Aqua Power +
Kyocera ; Echo
Lava ; A97 2GB+
Lava ; A76+
Lenovo ; Z5 Pro
Lenovo ; S5 Pro
Lenovo ; K5 Pro
Lenovo ; K5 Note (2018)
Lenovo ; A850+
Lenovo ; Yoga Tablet 10 HD+
Lenovo ; A60+
LG ; Watch W7
LG ; V35 ThinQ
LG ; Q8 (2017)
LG ; Watch Urbane 2nd Edition LTE
LG ; Optimus M+ MS695
Meizu ; 16X
Meizu ; 16 Plus
Meizu ; M6T
Micromax ; Canvas Xpress 4G Q413
Micromax ; Canvas Blaze 4G+ Q414
Micromax ; Canvas Juice 3+ Q394
Micromax ; X234+
Microsoft ; Lumia 532 Dual SIM
Motorola ; One (P30 Play)
Motorola ; One Power (P30 Note)
Motorola ; Moto X Style
Motorola ; GLEAM+ WX308
Motorola ; StarTAC 75+
Nokia ; 106 (2018)
Nokia ; 3.1 Plus
Nokia ; 7.1
Nokia ; 7.1 Plus (Nokia X7)
Nokia ; 6.1 Plus (Nokia X6)
Nokia ; 5.1 Plus (Nokia X5)
Nokia ; Lumia 625
Nokia ; Lumia 920
Nokia ; X6 8GB (2010)
Nokia ; X2-00
Nokia ; X6 16GB (2010)
Nokia ; X6 (2009)
Nokia ; 8855
OnePlus ; 6T
Oppo ; R15x
Oppo ; RX17 Neo
Oppo ; A7x
Oppo ; RX17 Pro
Oppo ; F9 (F9 Pro)
Oppo ; A3s
Oppo ; Find X Lamborghini Edition
Oppo ; Find X
Panasonic ; P85 NXT
